raceId,driverId,stop,seconds,driverRef,forename,nationality,position,clase_pos
1137,857,1,20.181,piastri,Oscar,Australian,4.0,0
1138,1,1,29.272,hamilton,Lewis,British,6.0,0
1138,4,1,29.251,alonso,Fernando,Spanish,9.0,0
1138,807,1,29.808,hulkenberg,Nico,German,10.0,0
1138,815,1,28.99,perez,Sergio,Mexican,8.0,0
1138,830,1,29.655,max_verstappen,Max,Dutch,1.0,1
1138,832,1,29.385,sainz,Carlos,Spanish,5.0,0
1138,844,1,29.042,leclerc,Charles,Monegasque,3.0,1
1138,846,1,29.091,norris,Lando,British,2.0,1
1138,847,1,28.739,russell,George,British,7.0,0
1138,857,1,29.152,piastri,Oscar,Australian,4.0,0
1139,4,1,24.247,alonso,Fernando,Spanish,9.0,0
1139,807,1,24.5,hulkenberg,Nico,German,10.0,0
1139,815,1,23.58,perez,Sergio,Mexican,8.0,0
1139,830,1,24.228,max_verstappen,Max,Dutch,1.0,1
1139,832,1,23.963,sainz,Carlos,Spanish,5.0,0
1139,844,1,23.817,leclerc,Charles,Monegasque,3.0,1
1139,846,1,23.731,norris,Lando,British,2.0,1
1139,847,1,29.327,russell,George,British,7.0,0
1139,857,1,24.107,piastri,Oscar,Australian,4.0,0
1140,1,1,22.538,hamilton,Lewis,British,6.0,0
1140,807,1,23.077,hulkenberg,Nico,German,10.0,0
1140,815,3,71.824,perez,Sergio,Mexican,8.0,0
1140,830,1,43.73,max_verstappen,Max,Dutch,1.0,1
1140,832,1,22.249,sainz,Carlos,Spanish,5.0,0
1140,844,2,45.55,leclerc,Charles,Monegasque,3.0,1
1140,846,1,22.111,norris,Lando,British,2.0,1
1140,847,1,22.462,russell,George,British,7.0,0
1140,857,1,21.825,piastri,Oscar,Australian,4.0,0
1141,1,2,1450.908,hamilton,Lewis,British,7.0,0
1141,4,2,1447.979,alonso,Fernando,Spanish,9.0,0
1141,807,3,112.943,hulkenberg,Nico,German,10.0,0
1141,815,2,1451.907,perez,Sergio,Mexican,8.0,0
1141,830,1,1409.303,max_verstappen,Max,Dutch,1.0,1
1141,832,2,1450.579,sainz,Carlos,Spanish,5.0,0
1141,844,2,1444.833,leclerc,Charles,Monegasque,3.0,1
1141,846,2,1440.127,norris,Lando,British,2.0,1
1141,847,2,1441.536,russell,George,British,6.0,0
1141,857,2,1446.32,piastri,Oscar,Australian,4.0,0
1142,1,2,42.422,hamilton,Lewis,British,7.0,0
1142,4,2,42.814,alonso,Fernando,Spanish,9.0,0
1142,807,2,43.213,hulkenberg,Nico,German,10.0,0
1142,815,2,42.328,perez,Sergio,Mexican,8.0,0
1142,830,2,42.951,max_verstappen,Max,Dutch,1.0,1
1142,832,2,41.927,sainz,Carlos,Spanish,5.0,0
1142,844,2,42.914,leclerc,Charles,Monegasque,3.0,1
1142,846,3,62.921,norris,Lando,British,2.0,1
1142,847,2,42.047,russell,George,British,6.0,0
1142,857,2,48.814,piastri,Oscar,Australian,4.0,0
1143,1,4,110.847,hamilton,Lewis,British,7.0,0
1143,4,3,90.031,alonso,Fernando,Spanish,9.0,0
1143,807,4,122.802,hulkenberg,Nico,German,10.0,0
1143,815,3,80.252,perez,Sergio,Mexican,8.0,0
1143,830,3,74.89,max_verstappen,Max,Dutch,1.0,1
